ResumeID,Skills,Education,YearsExperience,Projects,Internships,CGPA,Certification,JobRole
1,"Tableau, Data Analysis, Power BI, SQL, Excel, Python, Statistics, GitHub, MS Office, Critical Thinking",PhD,3,3,0,3.86,CCNA,Data Analyst
2,"Data Analysis, Python, Excel, Data Visualization, Statistics, Power BI, Git",PhD,9,8,2,2.22,CCNA,Data Analyst
3,"Tableau, Data Analysis, Pandas, SQL, Power BI, MS Office, Critical Thinking, GitHub",PhD,8,8,3,2.45,AWS CCP,Data Analyst
4,"Data Visualization, Data Analysis, Python, Statistics, Excel, Problem Solving, Critical Thinking, MS Office",PhD,9,3,1,3.0,Azure Fundamentals,Data Analyst
5,"Power BI, Statistics, Tableau, Excel, Data Visualization, Python, SQL, Data Analysis, Leadership, Communication",Masters,0,7,3,2.34,None,Data Analyst
6,"Tableau, Python, Data Analysis, Pandas, SQL, Excel, Statistics, Data Visualization, Power BI, Communication, Critical Thinking",PhD,0,7,1,2.32,Azure Fundamentals,Data Analyst
7,"Data Visualization, Excel, Tableau, Statistics, Python, Power BI, SQL, Data Analysis, Pandas, Git",Bachelors,9,5,0,2.9,AWS CCP,Data Analyst
8,"Statistics, Python, Data Visualization, Data Analysis, SQL, Power BI, Excel, Tableau, Pandas, Communication, Problem Solving, MS Office",Bachelors,9,7,0,3.47,CCNA,Data Analyst
9,"Statistics, SQL, Excel, Python, Critical Thinking, GitHub, Leadership",PhD,8,3,3,3.4,Google Data Analytics,Data Analyst
10,"Data Visualization, Power BI, Excel, SQL, Python, Statistics, Leadership, Communication, Git",Masters,7,1,0,2.56,TensorFlow Developer,Data Analyst
11,"Tableau, Statistics, Power BI, Data Visualization, SQL, Pandas, GitHub",PhD,4,1,3,3.78,CCNA,Data Analyst
12,"Power BI, Python, Excel, Data Analysis, SQL, Pandas, Tableau, GitHub, Critical Thinking, Teamwork",PhD,1,4,2,3.74,AWS CCP,Data Analyst
13,"Tableau, Statistics, Python, Power BI, Data Visualization, Pandas, Data Analysis, SQL, Communication, Teamwork",Bachelors,0,7,1,3.21,CCNA,Data Analyst
14,"Python, Power BI, SQL, Statistics, Problem Solving, Leadership",Bachelors,7,4,0,3.77,Azure Fundamentals,Data Analyst
15,"SQL, Statistics, Excel, Pandas, Python, MS Office, Communication",Masters,6,6,2,3.82,Google Data Analytics,Data Analyst
16,"Data Analysis, Python, Tableau, Pandas, Power BI, Statistics, SQL, Git, Critical Thinking, Problem Solving",PhD,9,8,1,2.59,None,Data Analyst
17,"SQL, Excel, Pandas, Data Visualization, Problem Solving",Bachelors,10,7,0,3.59,CCNA,Data Analyst
18,"Statistics, Data Analysis, Data Visualization, Pandas, Excel, Power BI, Python, SQL, GitHub, Teamwork, Git",Bachelors,1,1,2,3.01,TensorFlow Developer,Data Analyst
19,"Excel, Data Analysis, Python, Pandas, SQL, Data Visualization, Teamwork, Critical Thinking",Bachelors,2,5,0,3.86,TensorFlow Developer,Data Analyst
20,"Python, SQL, Data Visualization, Excel, Tableau, Data Analysis, Critical Thinking",Bachelors,6,3,0,3.68,Azure Fundamentals,Data Analyst
21,"Pandas, Scikit-Learn, Statistics, Python, Machine Learning, NumPy, Deep Learning, Leadership",Masters,2,3,3,2.58,Google Data Analytics,Data Scientist
22,"Python, Pandas, Statistics, Machine Learning, Scikit-Learn, Deep Learning, NumPy, SQL, MS Office",Bachelors,3,1,2,2.08,AWS CCP,Data Scientist
23,"NumPy, Deep Learning, Statistics, Python, Leadership",Masters,1,7,1,3.73,TensorFlow Developer,Data Scientist
24,"SQL, Scikit-Learn, Machine Learning, Deep Learning, Python, NumPy, GitHub, Git, Critical Thinking",Bachelors,0,8,2,3.74,CCNA,Data Scientist
25,"NumPy, Deep Learning, Statistics, Pandas, Scikit-Learn, Python, Machine Learning, SQL, MS Office, GitHub",PhD,10,4,1,2.36,CCNA,Data Scientist
26,"Scikit-Learn, Deep Learning, Python, Statistics, Pandas, Machine Learning, Critical Thinking, Leadership",Masters,7,2,1,3.5,TensorFlow Developer,Data Scientist
